generic,A generic 4 x 6 container label,generic.prn,cont
address,Address Labels for Shiptos,address.prn,addr
ucc,UCC label generic,ucc.prn,ucc
aiag,AIAG label generic,aiag.prn,cont
sscc18J,gstin-128 Jasper,sscc18.jasper,ucc
sscc18Jm,gstin-128 Jasper,sscc18multi.jasper,ucc
code39E,code 39 ext Jasper,code39E.jasper,ucc
uccpdf,code128 ext Jasper,ucc128.jasper,ucc
itemPDF,code 39 item PDF Jasper,itemPDF4x6.jasper,item
itemZPL,code 39 item zebra 2 x 4,item.prn,item
